Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
3,14,22,4,44,23,33,26,94,76,78,38,34,10,68,64,15,58,36,45,2,90,95,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,15,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,95,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,16,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,95,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,17,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,95,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,18,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,95,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,19,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,95,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,20,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,95,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,21,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,92,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,22,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,92,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,23,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,92,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,72,66,63
3,24,22,4,44,23,33,26,94,76,78,31,34,19,68,64,15,56,36,45,2,90,92,34,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,25,22,4,44,23,33,26,94,76,78,31,34,19,68,65,15,56,36,45,2,90,92,32,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,26,22,4,44,23,33,26,94,76,70,31,34,19,68,65,15,56,36,42,2,90,92,32,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,27,22,4,44,23,33,26,94,76,70,31,34,19,68,65,15,56,36,42,2,90,92,32,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,28,22,4,44,23,33,26,94,76,70,31,34,19,68,65,15,56,36,47,2,90,92,32,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,29,22,4,44,23,33,26,94,76,70,31,34,19,68,65,15,56,36,47,0,90,92,32,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
3,30,22,4,44,23,33,26,94,76,70,31,34,19,68,65,15,56,36,47,0,90,92,32,89,7,63,54,98,90,93,98,15,9,52,21,99,77,42,74,66,63
